Timestamp,SiteID,Day of Week,Scientist,Verified By,checksum
1989-02-01T10:30:00Z,AK1,4,AK1_SCI28,dicgr128,deda7828c5ca8ae842d1d4c7dbaf8d7c
1989-03-15T11:45:00Z,AK1,4,AK1_SCI80,dicgr128,5c47147d9c97ab9712106a520320c92b
1989-04-13T11:10:00Z,AK1,5,AK1_SCI28,dicgr128,e6b793a64f5092a9ddc3fb850c92b150
1989-05-10T11:10:00Z,AK1,4,AK1_SCI28,dicgr128,efe6310e08bbddf82bf35b713fd7bd94
1989-06-08T10:20:00Z,AK1,5,AK1_SCI22,dicgr128,fc98017089311bfe513985c5e01393e7
1989-07-05T13:30:00Z,AK1,4,AK1_SCI80,dicgr128,dc4690d6b4cb9147f13121c2bd6a3deb
1989-08-16T10:50:00Z,AK1,4,AK1_SCI28,dicgr128,019bbc7feb4414c306e52956801aec74
1989-09-06T09:40:00Z,AK1,4,AK1_SCI28,dicgr128,d224bd517bcd25367dd29e9153d5b5d1
1989-10-04T10:40:00Z,AK1,4,AK1_SCI28,dicgr128,d13f63c4d68a8b20d32f428148189921
1989-11-01T10:15:00Z,AK1,4,AK1_SCI22,dicgr128,ebe725590ce72ac0f57b808209bd6d2f
1989-11-29T10:25:00Z,AK1,4,AK1_SCI28,dicgr128,f08558096cb9f045968d3b2abc153098
1990-01-24T09:50:00Z,AK1,4,AK1_SCI28,dicgr128,d5dd7c92651550048be59a4ddc455881
1990-02-21T09:10:00Z,AK1,4,AK1_SCI28,dicgr128,ffeae564043ba08ac2abd68299c12e92
1990-03-21T10:30:00Z,AK1,4,AK1_SCI80,dicgr128,4eb4c68b3953cf1412132c5d2c18acd8
1990-04-11T09:45:00Z,AK1,4,AK1_SCI80,dicgr128,52867ebe19c7d168495e755ac24f6557
1990-05-17T09:45:00Z,AK1,5,AK1_SCI28,dicgr128,352a498cbb7ab626de964547694d56a8
1990-06-13T10:00:00Z,AK1,4,AK1_SCI22,dicgr128,a7bf52eb8c0e8a61764bb4c5dc5b6671
1990-07-11T09:55:00Z,AK1,4,AK1_SCI80,dicgr128,5b57d7a8384467db3d8601116585c4fa
1990-08-08T10:15:00Z,AK1,4,AK1_SCI22,dicgr128,2c14f9758a8aca79eaeeb895fa0b72d4
