,checksum,Absorbance Coefficient,Ammonia,Cloud Cover,Dissolved Oxygen Saturation,Dissolved Reactive Phosphate,E Coli,Electrical Conductivity,Nitrate + Nitrite,Ring Temp,Total Nitrogen,Total Phosphate,Turbidity,Water Temp,pH,SiteID,Region,Name,Longitude,Latitude,Timestamp
11524,e022288b08118f7e8fc4da01371ed340,1.8,1.0,6.0,103.4,2.1,16.1,91.3,18.0,-15.127789000095156,61.0,232.0,69.3,11.5,7.96,AX3,Alexandra,Shotover at Bowens Peak,168.7149003,-44.9916064,2013-01-15T15:00:00Z
11525,e025599e80feb09822fc927fe89de42f,2.07,3.0,0.0,112.0,0.9,56.1,221.0,1.0,15.010995970667636,89.0,10.0,0.74,20.3,8.27,WA6,Wanganui,Rangitikei at Kakariki,175.444118,-40.12680338,2008-02-20T10:15:00Z
11526,e030cab5f82186f02367e7a7d5c57bee,13.6,54.0,0.0,95.1,21.2,3130.0,134.0,709.0,14.423938436897185,1501.0,367.0,230.0,9.5,7.35,WA9,Wanganui,Manawatu at Opiki Br.,175.4695424,-40.43710471,2010-09-22T14:30:00Z
11527,e035855edbb5c69814e873dcd8a90bb9,31.55,84.0,7.0,74.6,47.2,1376.0,113.4,805.0,15.679604587852335,1409.0,127.0,27.0,14.9,6.43,WH4,Whangarei,Wairu at Purua,174.1505947,-35.6537364,2008-06-19T15:10:00Z
11528,e0393f2107a7582a179764f818789bf8,2.2,4.0,8.0,101.1,7.5,75.9,76.4,251.0,13.00192293591221,360.0,18.0,5.22,6.9,7.7,HV6,Havelock Nth,Mohaka at Glenfalls,176.6345775,-39.17951716,2012-07-04T10:20:00Z
11529,e03a43a365fb43760847b62e9e3ab0d0,0.63,2.0,2.0,100.4,0.0,154.0,65.7,12.0,-15.37042614996084,66.0,16.0,4.78,18.9,7.87,TK6,Tekapo,Waitaki at SH1 Br.,171.1002468,-44.92876257,2019-03-07T11:45:00Z
11530,e03d1c1b7585ad2466193a87e54f68f8,9.7,60.0,8.0,76.3,75.1,86.2,365.0,398.0,-15.410710562183692,674.0,112.0,2.1,18.7,7.29,RO2,Rotorua,Tarawera at Awakaponga,176.7668297,-37.94077098,2007-01-17T13:10:00Z
11531,e03e7997127bf315c2f5a32f4cb21f6b,0.5,2.0,1.0,103.1,0.6,2.0,113.7,7.0,-15.697133497279047,61.0,6.0,0.91,15.4,7.98,AX3,Alexandra,Shotover at Bowens Peak,168.7149003,-44.9916064,2006-02-15T15:00:00Z
11532,e05232b27d03e9b2eab1a086d171cebc,2.3,11.0,0.0,101.2,7.6,37.9,81.6,319.0,-15.679604587852335,389.0,15.0,1.53,16.5,7.75,HV6,Havelock Nth,Mohaka at Glenfalls,176.6345775,-39.17951716,2018-01-09T10:30:00Z
11533,e052e31eb277a47202aee81e1fd9a3c0,1.1,1.0,1.0,103.6,1.0,12.1,68.6,0.0,-15.155197129414054,52.0,5.0,0.65,11.6,7.88,CH1,Christchurch,Hurunui at Mandamus,172.5414016,-42.79210319,2006-03-16T09:50:00Z
11534,e05466342806c1868753bcf670040e58,1.4,3.0,8.0,101.9,0.6,7.4,69.5,22.0,15.20789268871266,85.0,6.0,2.82,11.8,7.89,AX4,Alexandra,Clutha at Millers Flat,169.4099758,-45.66636207,2016-10-11T10:40:00Z
11535,e05afbd0af348c26bc88dcd32b493f7c,0.5,1.0,8.0,110.2,5.3,1.0,510.0,0.0,-15.63745503691058,89.0,9.0,0.66,14.3,8.29,RO1,Rotorua,Tarawera at Lake outlet,176.5021583,-38.18372278,2015-10-14T11:57:00Z
11536,e06992e55d41b355ecf82966a81ecd40,1.2,2.0,3.0,109.5,1.8,17.3,93.1,368.0,-15.654072953432918,438.0,5.0,0.87,16.9,8.2,CH2,Christchurch,Hurunui at SH1 Br.,173.0964716,-42.90013799,2010-11-17T12:10:00Z
11537,e06a1f828a1fc56e7a514248f72506a8,3.2,1.0,4.0,102.8,1.8,0.0,45.9,18.0,14.466513057105365,53.0,4.0,1.05,9.6,7.4,WN5,Wellington,Ruamahanga at SH2,175.6048351,-40.76387899,2012-10-10T13:30:00Z
11538,e07024ea491803134cf1c363f0e234ea,1.2,4.0,7.0,102.0,4.7,10.8,118.5,78.0,-14.628738839401022,135.0,15.0,5.89,10.0,7.93,HV3,Havelock Nth,Ngaruroro at Chesterhope,176.8722386,-39.59819739,2016-07-05T13:42:00Z
11539,e072e8392559f2fdec31effde6edbe3f,7.97,13.0,8.0,100.9,6.9,145.0,55.7,211.0,-13.567608486074471,348.0,20.0,1.84,7.8,7.79,WA2,Wanganui,Manganui at SH3,174.2615561,-39.28292805,2018-08-21T11:20:00Z
